-1.8901	-1.8695	-4.3841
-0.8579	5.0275	-2.2771
-3.3959	2.1984	-0.8694
-0.2573	-2.2689	-1.1214
-1.3017	-4.7279	-3.3348
2.3326	-1.1522	-4.6521
1.1705	4.4206	-7.2669
-6.2822	2.7721	2.0481
-4.6122	-3.4076	-2.9270
-3.7211	-2.1644	-6.9134
-2.9843	3.4928	-1.5515
1.7754	-2.9413	1.4724
-6.1738	-0.3763	-1.6682
-5.1015	-0.0917	0.3816
-1.3105	1.1183	3.0632
0.8751	4.6520	6.5730
-2.4287	0.0031	0.9470
0.2549	0.5622	-3.0125
-1.0361	-0.8251	5.7468
1.7549	4.7536	13.3015
4.3135	0.1456	-1.1585
-0.9394	-0.6800	-0.4475
-3.2988	1.6657	1.4333
2.4600	0.6007	-7.5076
1.3023	0.6261	-8.5774
0.6924	0.0724	-0.2058
-6.6020	0.0514	-2.6004
0.2305	-1.0072	0.7028
-2.2778	1.9943	-0.5940
0.8965	0.5968	-3.7835
-1.1791	-2.6424	-1.8909
0.8838	-0.3963	3.0593
-0.7294	0.1681	-7.0476
-5.8051	1.3165	-10.5706
0.7413	-0.2577	-3.8787
0.0728	-0.6239	3.1389
1.9371	-0.0179	1.6794
-1.4633	1.0529	0.3249
-2.3329	-0.0990	-0.4949
-0.5151	-0.1673	-3.5833
-5.8950	1.9118	-2.8391
3.0357	-2.3158	-1.0506
-0.4877	-0.2093	0.1980
-0.3662	-0.2923	-3.9026
-0.9609	-0.2713	0.1535
-0.5478	0.0997	-6.6053
1.6075	-0.8392	2.1120
-2.2910	1.0187	-6.2942
2.3961	0.3410	1.6565
-1.2216	-0.1781	-3.3684
4.0230	0.3795	0.3010
-0.8657	0.2506	-7.3626
-2.2084	1.4352	-0.7400
1.2457	0.5060	0.3249
-1.0454	0.0719	-2.0799
2.4737	0.0080	-3.0340
-2.0302	-0.2972	2.0031
0.6680	-0.1190	-5.3777
0.5054	0.4181	2.5749
-1.0380	0.4962	-0.5164
0.5010	-1.6566	0.4665
-4.5883	0.4005	-1.4764
1.6412	1.1476	5.5012
1.5098	0.5084	-1.1531
-1.7880	-0.6664	-1.5735
1.3072	-0.2679	2.5412
-0.1147	-0.0917	0.4226
4.7466	0.6544	-3.6433
-4.1142	0.7150	1.7277
1.8799	-0.2762	-0.2869
-0.5996	-0.8739	-1.4812
0.2193	0.8175	-1.4861
1.4786	0.6725	1.1701
-1.1025	0.5514	0.7361
1.4952	-1.3114	-1.1809
-2.9604	-0.2284	-4.3138
0.1241	-0.3441	-1.5491
0.2833	0.4352	-1.6424
1.4420	-0.0638	-2.8001
-1.1015	-0.4310	-4.5359
-2.5761	-0.5628	0.4958
3.1890	0.2970	1.7111
-2.0922	0.1539	-3.1848
0.3082	0.3307	-0.4451
-0.6347	-0.3895	3.5876
0.8394	-0.0711	0.5461
0.2877	0.4562	-0.9051
-3.5605	0.5172	0.9773
1.8043	-0.5824	1.7976
-3.3798	0.1525	0.8474
1.4449	-0.2626	0.4719
-0.8173	0.0348	-3.3953
-0.3564	-0.4237	2.2292
0.1719	0.6803	1.0515
-1.3339	0.2882	-1.1097
1.7066	0.0289	-3.8777
-1.4853	-0.0736	1.2136
1.4874	0.0187	-0.7669
0.3580	-0.0433	-1.9392
